DULICA;PSC;OBCE
Banská;976 32;Badín
Borovicová;976 32;Badín
Družstevná;976 32;Badín
Hliny;976 32;Badín
Krčméryho;976 32;Badín
Kriedovnica;974 05;Badín
L. Svobodu;976 32;Badín
Laurínska;976 32;Badín
Lipová ulica;976 32;Badín
Nová;976 32;Badín
Osloboditeľov;976 32;Badín
Pod Hrádkom;976 32;Badín
Pod vŕškom;976 32;Badín
Sládkovičova;976 32;Badín
SNP;976 32;Badín
Tajovského;976 32;Badín
Záhradná;976 32;Badín
5. apríla;957 01;Bánovce nad Bebravou
9. mája;957 01;Bánovce nad Bebravou
A. Hlinku;957 01;Bánovce nad Bebravou
A.Kmeťa;957 01;Bánovce nad Bebravou
Alexandra Dubčeka;957 04;Bánovce nad Bebravou
Bernolákova;957 01;Bánovce nad Bebravou
Biskupice;957 01;Bánovce nad Bebravou
Cibislávska;957 01;Bánovce nad Bebravou
Cintorínska;957 01;Bánovce nad Bebravou
Clementisova;957 01;Bánovce nad Bebravou
Cyrila a Metoda;957 04;Bánovce nad Bebravou
Dolné Ozorovce;957 01;Bánovce nad Bebravou
Družstevná;957 01;Bánovce nad Bebravou
Duklianska;957 01;Bánovce nad Bebravou
Farská;957 01;Bánovce nad Bebravou
Ferka Urbánka;957 01;Bánovce nad Bebravou
Gorazdova;957 04;Bánovce nad Bebravou
Hečkova;957 01;Bánovce nad Bebravou
Hollého;957 01;Bánovce nad Bebravou
Horné Ozorovce;957 03;Bánovce nad Bebravou
Hrežďovská;957 01;Bánovce nad Bebravou
Husitská;957 04;Bánovce nad Bebravou
Hviezdoslavova;957 01;Bánovce nad Bebravou
I. Krasku;957 01;Bánovce nad Bebravou
Inovecká;957 01;Bánovce nad Bebravou
J. C. Hronského;957 04;Bánovce nad Bebravou
J. G. Tajovského;957 01;Bánovce nad Bebravou
J. Gabora;957 04;Bánovce nad Bebravou
J. Kačku;957 01;Bánovce nad Bebravou
J. Matušku;957 01;Bánovce nad Bebravou
Jahodová;957 01;Bánovce nad Bebravou
Jána Bottu;957 01;Bánovce nad Bebravou
Janka Jesenského;957 01;Bánovce nad Bebravou
Janka Kráľa;957 01;Bánovce nad Bebravou
Jerichov;957 01;Bánovce nad Bebravou
K cintorínu;957 01;Bánovce nad Bebravou
K mlynskému náhonu;957 01;Bánovce nad Bebravou
K nemocnici;957 01;Bánovce nad Bebravou
K priehrade;957 01;Bánovce nad Bebravou
K štadiónu;957 01;Bánovce nad Bebravou
K Zornici;957 01;Bánovce nad Bebravou
Komenského;957 04;Bánovce nad Bebravou
kpt. Jaroša;957 01;Bánovce nad Bebravou
Ku splavu;957 01;Bánovce nad Bebravou
Kukučínova;957 04;Bánovce nad Bebravou
Lipová;957 01;Bánovce nad Bebravou
Lúčna;957 04;Bánovce nad Bebravou
Ľudmily Podjavorinskej;957 01;Bánovce nad Bebravou
M. R. Štefánika;957 01;Bánovce nad Bebravou
Malé Chlievany;957 01;Bánovce nad Bebravou
Matice slovenskej;957 04;Bánovce nad Bebravou
Mila Urbana;957 01;Bánovce nad Bebravou
Mlynská;957 01;Bánovce nad Bebravou
Mojmírova;957 04;Bánovce nad Bebravou
Moyzesova;957 01;Bánovce nad Bebravou
Murgašova;957 01;Bánovce nad Bebravou
Na Vrštek;957 01;Bánovce nad Bebravou
Nám. Ľ. Štúra;957 01;Bánovce nad Bebravou
Novomeského;957 04;Bánovce nad Bebravou
